Feature	S9_Z05
ankfn1	0
ankfy1	9.70247
ankh	13.4747
ankhd1	0
ankib1	0
ankk1	0
ankle1	18.07844
ankle2	0
ankmy1	0
ankmy2	0
ankq	0
ankra2	4.03873
ankrd1	0
ankrd10	0
ankrd11	0
ankrd12	0
ankrd13a	0
ankrd13b	0
ankrd13c	0
ankrd13d	0
ankrd16	18.64482
ankrd17	4.58687
ankrd2	0
ankrd22	0
ankrd23	0
ankrd26	11.1026
ankrd27	0
ankrd28	0
ankrd29	0
ankrd30b	0
ankrd30bl	0
ankrd31	0
ankrd32	0
ankrd33	0
ankrd33b	0
ankrd34b	0
ankrd34c	0
ankrd35	0
ankrd36	0
ankrd37	0
ankrd39	6.47025
ankrd40	10.9498
ankrd42	44.711330000000004
ankrd44	0
ankrd45	0
ankrd46	0
ankrd49	42.31529999999999
ankrd50	0
ankrd52	0
ankrd53	0
ankrd54	13.057
ankrd55	0
ankrd6	0
ankrd60	0
ankrd61	8.60771
ankrd62	0
ankrd63	0
ankrd65	0
ankrd66	4.98289
ankrd7	0
ankrd9	7.44064
anks1a	0
anks1b	0
anks3	0
anks4b	0
anks6	4.49649
ankub1	0
ankzf1	0
anln	0
anmk	8180.907559999996
annexin	0
ano1	0
ano10	0
ano2	0
ano3	0
ano4	0
ano5	0
ano6	0
ano7	0
ano8	0
ano9	0
anp1	0
anp32a	0
anp32b	0
anp32e	0
anpep	6.74446
anr	258.74873
ansa	4328.284710000001
ansb	137.34693000000001
ansb2	0
ansp	0
ansr	0
ansr1	0
ansr5	0
ant	0
ant1	6.73535
anta	30.508589999999998
antb	0
antc	8.54707
antxr1	0
anxa1	0
anxa11	0
anxa13	0
anxa2	0
anxa3	0
anxa4	0
anxa5	0
anxa6	0
anxa7	0
anxa8	0
ao	22.7558
aoah	0
aoc1	0
aoc2	0
aoc3	0
aofh	9.14906
aofh_1	0
aor	8.07458
aor-1	0
aor1	0
aor-2	0
aor3	0
aora	20.22308
aora-1	0
aorr	0
aos1	0
aotj	25.892490000000002
aotm	0
aoto	39.08061
aotp	17.2542
aotq	0
aox1	0
aox1a	0
aox2	26.87965
aox4	0
aoxa	0
aoxb	4.83112
aoxc	5.07734
aoxr	0
ap1b1	0
ap1g1	5.00906
ap1g2	0
ap1m1	0
ap1m2	0
ap1s1	0
ap1s2	0
ap1s3	0
ap-1sigma	0
ap2	0
ap2a1	0
ap2a2	0
ap2b1	0
ap2m1	0
ap2s1	0
ap3b1	0
ap3b2	0
ap3d1	0
ap3m	0
ap3m1	0
ap3m2	6.49045
ap3s1	0
ap3s2	0
ap4b1	0
ap4e1	0
ap4m1	0
ap4s1	0
ap5b1	6.36099
ap5m1	3.09009
ap5z1	0
apa	31.2783
apa2	40.66731
apaf1	4.99368
apag	2965.76495
apah	2328.526210000001
apba	235.82121
apba_1	8.39644
apba1	0
apba2	0
apba3	0
apbb1ip	0
apbb2	0
apbb3	0
apbe	4753.720409999999
apbe_1	37.9386
apbe2	0
apbe3	0
apc1	0
apc10	11.74105
apc11	0
apc2	3.83443
apc3	84.10864
apc4	785.7046000000001
apc5	0
apc8	8.15513
apca	35.77148
apcb	42.6769
apcc	31.147199999999998
apcd	7.10345
apce	36.51997
apcf	36.04069
apcs	0
ape2	5.42265
ape3	46.47819
apea	11.8834
apeb	1001.0257299999996
apeh	0
apeh-1	0
apex1	4.79039
apex2	0
apfa	75.55167
apg7	0
apgm	147.23363999999998
aph	47.07357999999999
aph1	0
aph1a	0
aph2	0
apha	601.47596
apha1	3.67888
apha2	0
aphb	0
aphd	0
api5	0
apip	0
apitd1	5.0513
apkc	0
apl	3.18453
apl1	0
apl2	0
apl4	3.9403
apl5	0
apl6	0
apla	5.94468
apld	0
aplf	0
aplp1	0
aplp2	0
apm1	0
apm4	0
apmap	7.90781
apn-1	14.27599
apn1	0
apn2	0
apoa1bp	0
apob	0
apod	0
apoh	0
apopt1	0
app	0
appa	284.37305000000003
appa_2	0
appb	600.62533
appb2	0
appbp2	0
appc	149.13734
appcc	0
appd	90.29098
appf	472.5090599999999
appf1	0
appl1	0
apr	28.32811
apr1	102.02609999999999
apra	33.92191
aprb	3090.5509799999995
aprd	83.71551
apre	115.3455
aprf	0
apri	0
aprl5	0
aprm	2947.4368499999982
aprn	1351.6731900000002
aprr2	0
aprt	334.93139
aprx	196.53421999999998
aps2	0
aps3	0
apt	6616.039509999998
apt1	134.01966
apt2	0
apta	93.79372
aptx	0
apu	3.76433
apub	0
apx	0
apx1	0
apx7	4.54928
apxib	0
apxib_2	0
apxib_3	130.303
apy2	4.96035
aqp1	0
aqp10	4.60812
aqp-12	0
aqp2	0
aqp3	0
aqp4	95.2847
aqp5	0
aqp6	0
aqp7	0
aqp8	0
aqp9	0
aqpm	0
aqpz	2697.2299300000004
aqr	0
aqy1	0
ara	0
ara1	0
ara11	113.85383999999999
ara4fn	0
araa	22.6082
arab	196.36979000000002
arab_1	0
arab2	0
arac	11.58436
arac_2	0
arac2	0
arac3	0
arac7	0
arac9	0
arad	199.65691999999999
arae	717.1945199999998
araf	0
arag	71.32056
arag_1	174.608
arah	1505.4636499999997
araj	349.9232599999999
araj1	0
aral	0
aral1	9.53934
aral2	0
aran	89.66459
arap	24.475
arap1	0
arap2	0
araq	76.61152
araq1	0
araq_2	0
araq5	0
arar	70.9876
arat	0
arat1	0
arat2	0
arb1	0
arba_2	11.726
arbv	0
arbx	0
arby	15.7651
arc	84.98536
arc1	0
arc15	0
arc18	3.16968
arc19	0
arc35	0
arc5	0
arc6	0
arca	59.55368000000001
arcb	517.99458
arcb_1	3.02
arcb1	0
arcb_2	0
arcc	896.6053499999999
arcd	0
arcd1	0
arcd2	0
arcn1	0
arcr	0
arcs	361.3628
arct	15.59275
ard	0
ard1	0
arda	0
ardc	0
ardh	13.79656
are2	0
areb	0
areb3	0
arel1	0
arf1	0
arf-1.1	0
arf2	0
arf3	0
arf4	0
arf6	0
arfa	20.18663
arfb	420.74763
arfgap1	0
arfgap2	0
arfgap3	0
arfgef1	5.28026
arfgef2	0
arfip1	0
arfip2	0
arfm	0
arfrp1	6.2753
arfrp1-1	0
arg1	6.17934
arg2	0
arg3	0
arg4	0
arg8	10.715530000000001
arg81	0
arga	1308.3817300000005
argb	8212.41425
argb1	386.49225000000007
argc	7753.721700000002
argc_2	0
argc2	0
argd	11048.038829999996
argd1	325.45116
arge	2994.8808799999993
arge_1	2340.8954799999997
arge_2	201.35606
argf	8721.73009999999
argg	9459.081679999996
argh	10329.154010000015
